token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
0-0	TOR004	0	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=0.617	_	_	_	_	_
0-1	TOR004	0	via	via	linguistic	none	_	_	_	_	_	_	_
0-2	TOR004	0	sta	sta	linguistic	none	_	_	_	_	_	_	_
0-3	TOR004	0	registrando	registrando	linguistic	none	_	End=2.693	_	_	_	_	_
1-0	TOI021	1	mh	mh	linguistic	none	_	Begin=3.09|End=3.339	_	_	_	_	BC
2-0	TOR004	2	allo:ra	allora	linguistic	none	_	Begin=3.339|End=4.058	3x1	_	_	_	_
3-0	TOR004	3	e::mh	emh	linguistic	none	_	Begin=5.217	0x2	_	_	_	FP
3-1	TOR004	3	ciao	ciao	linguistic	none	_	End=7.142	_	_	_	_	_
4-0	TOI021	4	ciao	ciao	linguistic	none	_	Begin=7.427|End=8.201	_	_	_	_	_
5-0	TOR004	5	grazie	grazie	linguistic	none	_	Begin=8.566	_	_	_	_	_
5-1	TOR004	5	per	per	linguistic	none	_	_	_	_	_	_	_
5-2	TOR004	5	esserti	esserti	linguistic	none	_	_	_	_	_	_	_
5-3	TOR004	5	fatta	fatta	linguistic	none	_	_	_	_	_	_	_
5-4	TOR004	5	intervistare,	intervistare	linguistic	none	Intonation=WeaklyRising	End=11.016	_	_	_	_	_
6-0	TOR004	6	per	per	linguistic	none	_	Begin=11.264	_	_	_	_	_
6-1	TOR004	6	avere	avere	linguistic	none	_	_	_	_	_	_	_
6-2	TOR004	6	accettato,	accettato	linguistic	none	Intonation=WeaklyRising	End=12.671	_	_	_	_	_
7-0	TOI021	7	prego	prego	linguistic	none	_	Begin=12.694	_	_	_	_	_
7-1	TOI021	7	martina	martina	linguistic	none	_	End=13.678	_	_	_	_	_
8-0	TOR004	8	((ride))	((ride))	nonverbalbehavior	none	_	Begin=13.924	_	_	_	_	_
8-1	TOR004	8	allo:ra	allora	linguistic	none	_	End=15.786	3x1	_	_	_	_
9-0	TOR004	9	ti	ti	linguistic	none	_	Begin=16.065	_	_	_	_	_
9-1	TOR004	9	faccio	faccio	linguistic	none	_	_	_	_	_	_	_
9-2	TOR004	9	un	un	linguistic	none	_	_	_	_	_	_	_
9-3	TOR004	9	po'	po'	linguistic	none	_	_	_	_	_	_	_
9-4	TOR004	9	di	di	linguistic	none	_	_	_	_	_	_	_
9-5	TOR004	9	domande	domande	linguistic	none	_	_	_	_	_	_	_
9-6	TOR004	9	su:::	su	linguistic	none	_	_	1x3	_	_	_	_
9-7	TOR004	9	la	la	linguistic	none	_	_	_	_	_	_	_
9-8	TOR004	9	tua	tua	linguistic	none	_	_	_	_	_	_	_
9-9	TOR004	9	vita::,	vita	linguistic	none	Intonation=WeaklyRising	End=20.062	3x2	_	_	_	_
10-0	TOR004	10	su::	su	linguistic	none	_	Begin=20.492	1x2	_	_	_	_
10-1	TOR004	10	cose:	cose	linguistic	none	_	_	3x1	_	_	_	_
10-2	TOR004	10	anagrafiche,	anagrafiche	linguistic	none	Intonation=WeaklyRising	End=23.359	_	_	_	_	_
11-0	TOR004	11	come	come	linguistic	none	_	Begin=23.39	_	_	_	_	_
11-1	TOR004	11	ti	ti	linguistic	none	_	_	_	_	_	_	_
11-2	TOR004	11	chiami::	chiami	linguistic	none	ProsodicLink=Yes	_	5x2	_	_	_	_
11-3	TOR004	11	e	e	linguistic	none	_	_	_	_	_	_	_
11-4	TOR004	11	queste	queste	linguistic	none	_	_	_	_	_	_	_
11-5	TOR004	11	cose	cose	linguistic	none	_	_	_	_	_	_	_
11-6	TOR004	11	qui	qui	linguistic	none	_	End=25.694	_	_	_	_	_
12-0	TOR004	12	e	e	linguistic	none	_	Begin=25.921	_	_	_	_	_
12-1	TOR004	12	poi	poi	linguistic	none	_	_	_	_	_	_	_
12-2	TOR004	12	magari	magari	linguistic	none	_	_	_	_	_	_	_
12-3	TOR004	12	ci	ci	linguistic	none	_	_	_	_	_	_	_
12-4	TOR004	12	raccontiamo	raccontiamo	linguistic	none	_	_	_	_	_	_	_
12-5	TOR004	12	un	un	linguistic	none	_	_	_	_	_	_	_
12-6	TOR004	12	po'	po'	linguistic	none	_	_	_	_	_	_	_
12-7	TOR004	12	di	di	linguistic	none	_	_	_	_	_	_	_
12-8	TOR004	12	cose	cose	linguistic	none	_	End=28.32	_	_	_	_	_
13-0	TOI021	13	mh	mh	linguistic	none	_	Begin=28.403	_	_	_	_	BC[1]
13-1	TOI021	13	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	BC[1]
13-2	TOI021	13	okay	okay	linguistic	none	_	End=29.79	_	_	_	_	BC[1]
14-0	TOR004	14	allora,	allora	linguistic	none	Intonation=WeaklyRising	Begin=29.829	_	_	_	_	_
14-1	TOR004	14	innanzitutto	innanzitutto	linguistic	none	_	_	_	_	_	_	_
14-2	TOR004	14	come	come	linguistic	none	_	_	_	_	_	_	_
14-3	TOR004	14	ti	ti	linguistic	none	_	_	_	_	_	_	_
14-4	TOR004	14	chiami?	chiami	linguistic	none	Intonation=Rising	End=32.073	_	_	_	_	_
15-0	TOI021	15	nome	nome	linguistic	none	_	Begin=32.351	_	_	_	_	_
15-1	TOI021	15	e	e	linguistic	none	_	_	_	_	_	_	_
15-2	TOI021	15	cognome?	cognome	linguistic	none	Intonation=Rising	End=33.652	_	_	_	_	_
16-0	TOR004	16	come	come	linguistic	none	_	Begin=33.76	_	_	_	_	_
16-1	TOR004	16	vuoi	vuoi	linguistic	none	_	End=34.606	_	_	_	_	_
17-0	TOI021	17	giuliana	giuliana	linguistic	none	_	Begin=34.701	_	_	_	_	_
17-1	TOI021	17	azzurri	azzurri	linguistic	none	_	End=35.863	_	_	_	_	_
18-0	TOR004	18	oka:y	okay	linguistic	none	_	Begin=35.941	2x1	_	_	_	BC
18-1	TOR004	18	e	e	linguistic	none	_	_	_	_	_	_	_
18-2	TOR004	18	dove	dove	linguistic	none	_	_	_	_	_	_	_
18-3	TOR004	18	sei	sei	linguistic	none	_	_	_	_	_	_	_
18-4	TOR004	18	nata?	nata	linguistic	none	Intonation=Rising	End=37.601	_	_	_	_	_
19-0	TOI021	19	a	a	linguistic	none	_	Begin=37.783	_	_	_	_	_
19-1	TOI021	19	caltanissetta	caltanissetta	linguistic	none	_	End=39.38	_	_	_	_	_
20-0	TOI021	20	°xxx°	x	unknown	none	Volume=Low	Begin=39.479|End=40.633	_	_	_	_	_
21-0	TOR004	21	eh?	eh	linguistic	none	Intonation=Rising	Begin=40.697	_	_	_	_	BC
21-1	TOR004	21	caltanissetta	caltanissetta	linguistic	none	_	_	_	_	_	_	_
21-2	TOR004	21	cosa	cosa	linguistic	none	_	_	_	_	_	_	_
21-3	TOR004	21	dici?	dici	linguistic	none	Intonation=Rising	End=42.411	_	_	_	_	_
22-0	TOI021	22	a	a	linguistic	none	_	Begin=42.411	_	_	_	_	_
22-1	TOI021	22	caltanissetta	caltanissetta	linguistic	none	_	End=43.832	_	_	_	_	_
23-0	TOR004	23	in	in	linguistic	none	_	Begin=44.631	_	_	_	_	_
23-1	TOR004	23	ita:lia	italia	linguistic	none	_	_	2x1	_	_	_	_
23-2	TOR004	23	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	_
23-3	TOR004	23	sì?	sì	linguistic	none	Intonation=Rising	End=46.169	_	_	_	_	_
24-0	TOI021	24	eh	eh	linguistic	none	_	Begin=46.17	_	_	_	_	_
24-1	TOI021	24	beh	beh	linguistic	none	_	End=46.672	_	_	_	_	_
25-0	TOI021	25	[no]	no	linguistic	none	_	Begin=46.853|End=47.126	_	_	_	0-2(0)	_
26-0	TOR004	26	[in	in	linguistic	none	_	Begin=46.858	_	_	_	0-2(0)	_
26-1	TOR004	26	si]cilia?	sicilia	linguistic	none	Intonation=Rising	End=47.815	_	_	_	0-2(0)	_
27-0	TOI021	27	sì	sì	linguistic	none	_	Begin=47.841|End=48.209	_	_	_	_	_
28-0	TOI021	28	no:	no	linguistic	none	_	Begin=48.242	1x1	_	_	_	_
28-1	TOI021	28	no	no	linguistic	none	_	_	_	_	_	_	_
28-2	TOI021	28	però	però	linguistic	none	_	_	_	_	_	_	_
28-3	TOI021	28	vedi	vedi	linguistic	none	_	_	_	_	_	_	_
28-4	TOI021	28	volevo	volevo	linguistic	none	_	_	_	_	_	_	_
28-5	TOI021	28	dire::	dire	linguistic	none	_	End=50.652	3x2	_	_	_	_
29-0	TOI021	29	se	se	linguistic	none	_	Begin=50.676	_	_	_	_	_
29-1	TOI021	29	devo	devo	linguistic	none	_	_	_	_	_	_	_
29-2	TOI021	29	dire	dire	linguistic	none	_	_	_	_	_	_	_
29-3	TOI021	29	anche	anche	linguistic	none	_	_	_	_	_	_	_
29-4	TOI021	29	la	la	linguistic	none	_	_	_	_	_	_	_
29-5	TOI021	29	data	data	linguistic	none	_	_	_	_	_	_	_
29-6	TOI021	29	di	di	linguistic	none	_	_	_	_	_	_	_
29-7	TOI021	29	nascita	nascita	linguistic	none	_	End=52.743	_	_	_	_	_
30-0	TOR004	30	a::h	ah	linguistic	none	_	Begin=52.807	0x2	_	_	_	_
30-1	TOR004	30	sì	sì	linguistic	none	_	_	_	_	_	_	_
30-2	TOR004	30	dimmela	dimmela	linguistic	none	_	End=53.764	_	_	_	_	_
31-0	TOI021	31	eh	eh	linguistic	none	_	Begin=53.775|End=54.166	_	_	_	_	BC
32-0	TOI021	32	>allora<	allora	linguistic	none	_	Begin=54.252	_	Fast=0-6	_	_	_
32-1	TOI021	32	sono	sono	linguistic	none	_	_	_	_	_	_	_
32-2	TOI021	32	nata	nata	linguistic	none	_	_	_	_	_	_	_
32-3	TOI021	32	a	a	linguistic	none	_	_	_	_	_	_	_
32-4	TOI021	32	caltanissetta	caltanissetta	linguistic	none	_	_	_	_	_	_	_
32-5	TOI021	32	il	il	linguistic	none	_	_	_	_	_	_	_
32-6	TOI021	32	dodici	dodici	linguistic	none	_	_	_	_	_	_	_
32-7	TOI021	32	cinque	cinque	linguistic	none	_	_	_	_	_	_	_
32-8	TOI021	32	millenovecentoquarantotto	millenovecentoquarantotto	linguistic	none	_	End=58.388	_	_	_	_	_
33-0	TOI021	33	caltanissetta	caltanissetta	linguistic	none	_	Begin=59.396	_	_	_	_	_
33-1	TOI021	33	sicilia	sicilia	linguistic	none	_	End=60.953	_	_	_	_	_
34-0	TOI021	34	ovviamente	ovviamente	linguistic	none	_	Begin=61.006|End=62.369	_	_	_	_	_
35-0	TOI021	35	però:	però	linguistic	none	_	Begin=62.689	3x1	_	_	_	_
