gold_speaker	gold_word	whisper_speaker	whisper_word
BO087	insomma	[SPEAKER_B]	mi
BO087	dispiacere	[SPEAKER_B]	sono
-	-	[SPEAKER_B]	un
-	-	[SPEAKER_B]	mas
-	-	[SPEAKER_B]	piacere
BO089	ah	[SPEAKER_B]	ah
BO089	avevano	[SPEAKER_B]	vedono
BO089	proprio	[SPEAKER_B]	che
-	-	[SPEAKER_B]	più
BO089	loro	[SPEAKER_B]	loro
BO089	una	[SPEAKER_B]	una
BO089	loro	[SPEAKER_B]	loro
BO089	tipografia	[SPEAKER_B]	tipografia
BO087	sì	[SPEAKER_A]	sì
BO087	mh	-	-
BO087	l'avevano	[SPEAKER_A]	l'avevano
BO087	sotto	[SPEAKER_A]	sotto
BO087	casa	[SPEAKER_A]	casa
BO087	una	[SPEAKER_A]	una
BO087	tipografia	[SPEAKER_A]	tipografia
BO087	andavan	[SPEAKER_A]	andava
BO087	insomma	-	-
BO089	e	[SPEAKER_A]	e
BO089	a	[SPEAKER_A]	a
BO089	chi	[SPEAKER_A]	chi
BO089	l'hanno	[SPEAKER_A]	hanno
BO089	venduta	[SPEAKER_A]	venduto
BO087	no	[SPEAKER_A]	no
BO087	mh	[SPEAKER_A]	ci
BO087	c'hanno	[SPEAKER_A]	hanno
BO087	fatto	[SPEAKER_A]	fatto
BO087	un'altra	[SPEAKER_A]	un'altra
BO087	casa	[SPEAKER_A]	casa
BO087	adesso	[SPEAKER_A]	adesso
BO087	hanno	[SPEAKER_A]	hanno
BO087	chiuso	[SPEAKER_A]	chiuso
BO087	proprio	[SPEAKER_A]	proprio
BO089	e	[SPEAKER_B]	e
-	-	[SPEAKER_B]	a
-	-	[SPEAKER_B]	chi
-	-	[SPEAKER_B]	è
-	-	[SPEAKER_B]	la
-	-	[SPEAKER_B]	non
-	-	[SPEAKER_B]	in
-	-	[SPEAKER_B]	tutta
-	-	[SPEAKER_B]	hanno
-	-	[SPEAKER_B]	chiuso
-	-	[SPEAKER_B]	proprio
BO089	i	[SPEAKER_B]	i
BO089	materiali	[SPEAKER_B]	materiali
BO089	xx	-	-
BO089	no	-	-
BO089	ma	-	-
BO089	i	-	-
BO089	materiali	-	-
BO089	di	[SPEAKER_B]	di
BO089	tipografia	[SPEAKER_B]	tipografia
BO089	dove	[SPEAKER_B]	non
BO089	sono	[SPEAKER_B]	sono
BO089	finiti	[SPEAKER_B]	finite
BO087	non	[SPEAKER_B]	non
BO087	non	-	-
BO087	ne	-	-
BO087	ho	[SPEAKER_B]	ho
BO087	idea	[SPEAKER_B]	idea
BO089	adesso	[SPEAKER_B]	adesso
BO089	lei	[SPEAKER_B]	le
-	-	[SPEAKER_B]	seinfoine
BO089	si	[SPEAKER_B]	si
BO089	informa	[SPEAKER_B]	finitunano
BO089	e	-	-
BO089	mi	-	-
BO089	sscrive	-	-
BO089	una	-	-
BO089	mail	-	-
BO089	per	-	-
BO089	favore	-	-
BO087	mi	-	-
BO087	infor~	-	-
BO087	va	[SPEAKER_B]	va
BO087	bene	[SPEAKER_B]	bene
BO089	si	[SPEAKER_B]	si
BO089	informa	[SPEAKER_B]	forma
BO089	dalla	[SPEAKER_B]	dalla
BO089	zia	[SPEAKER_B]	tizia
BO087	va	-	-
BO087	bene	-	-
BO087	va	-	-
BO087	bene	-	-
BO089	e	[SPEAKER_B]	e
BO089	dice	[SPEAKER_B]	dice
BO089	che	[SPEAKER_B]	che
BO089	il	[SPEAKER_B]	il
BO089	bianchi	[SPEAKER_B]	tite
BO089	che	[SPEAKER_B]	che
BO089	è	[SPEAKER_B]	è
BO089	un'appassionato	[SPEAKER_B]	appassionato
BO089	di	[SPEAKER_B]	in
BO089	tipografia	[SPEAKER_B]	tipografia
BO087	che	-	-
BO087	comunque	-	-
BO087	è	-	-
BO089	eh	-	-
BO089	mh	-	-
BO089	vuol	[SPEAKER_B]	vuol
BO089	sapere	[SPEAKER_B]	sapere
BO089	dove	[SPEAKER_B]	dove
BO089	son	[SPEAKER_B]	sono
BO089	finite	[SPEAKER_B]	finite
BO089	le	[SPEAKER_B]	le
BO089	sue	[SPEAKER_B]	sfosso
BO089	i	[SPEAKER_B]	ai
BO089	suoi	-	-
BO089	materiali	[SPEAKER_B]	materiali
BO087	va	[SPEAKER_B]	va
BO087	bene	[SPEAKER_B]	bene
BO087	glielo	[SPEAKER_B]	gli
BO087	chiederò	[SPEAKER_B]	adattivirò
BO089	perché	-	-
BO089	se	[SPEAKER_B]	se
BO089	sono	[SPEAKER_B]	sono
BO089	in	[SPEAKER_B]	in
BO089	un	[SPEAKER_B]	un
BO089	magazzino	[SPEAKER_B]	magazzino
BO087	perché	[SPEAKER_A]	perchè
BO087	comunque	[SPEAKER_A]	comunque
BO087	ero	[SPEAKER_A]	ero
BO087	piccolina	[SPEAKER_A]	piccolina
BO087	avevano	[SPEAKER_A]	avevano
BO087	insomma	-	-
BO087	era	-	-
BO087	quasi	[SPEAKER_A]	quasi
BO087	alla	[SPEAKER_A]	da
BO087	fine	[SPEAKER_A]	fine
BO087	sì	-	-
BO087	sì	-	-
BO087	mh	-	-
BO087	ah	-	-
BO087	si	[SPEAKER_A]	si
BO087	parla	[SPEAKER_A]	si
BO087	di	[SPEAKER_A]	quaranta
BO089	qurant'anni	[SPEAKER_A]	anni
BO089	fa	[SPEAKER_A]	fa
BO089	più	[SPEAKER_A]	i
BO089	o	-	-
BO089	meno	-	-
BO087	boh	-	-
BO087	non	-	-
BO087	anni	[SPEAKER_A]	anni
BO087	settanta	[SPEAKER_A]	settanta
BO087	o	-	-
BO087	ottanta	[SPEAKER_A]	ottanta
BO087	credo	[SPEAKER_A]	credo
BO089	lei	[SPEAKER_A]	messo
BO089	si	[SPEAKER_A]	in
BO089	informi	[SPEAKER_A]	foro
BO089	magari	[SPEAKER_A]	magari
BO089	le	[SPEAKER_A]	le
BO089	dicono	[SPEAKER_A]	dicono
BO089	che	[SPEAKER_A]	che
BO089	le	-	-
BO089	hanno	[SPEAKER_A]	hanno
BO089	messe	[SPEAKER_A]	messo
BO089	in	[SPEAKER_A]	in
BO089	una	[SPEAKER_A]	una
BO089	casa	[SPEAKER_A]	casa
BO089	di	[SPEAKER_A]	di
BO089	campagna	[SPEAKER_A]	campagna
BO089	e	[SPEAKER_B]	quantanissapo
BO089	va	[SPEAKER_B]	vessi
BO089	bene	[SPEAKER_B]	in
BO087	mh	[SPEAKER_B]	foro
BO087	mh	[SPEAKER_B]	magari
-	-	[SPEAKER_B]	le
-	-	[SPEAKER_B]	dicono
-	-	[SPEAKER_B]	che
-	-	[SPEAKER_B]	hanno
-	-	[SPEAKER_B]	messo
-	-	[SPEAKER_B]	in
-	-	[SPEAKER_B]	una
-	-	[SPEAKER_B]	casa
-	-	[SPEAKER_B]	di
-	-	[SPEAKER_B]	campagna
BO089	e	[SPEAKER_B]	e
BO089	sono	[SPEAKER_B]	sono
BO089	materiali	[SPEAKER_B]	materiali
BO089	imporanti	[SPEAKER_B]	importanti
BO087	va	-	-
BO087	bene	-	-
BO087	allora	-	-
BO087	glielo	-	-
BO087	chiederò	-	-
BO089	quindi	[SPEAKER_B]	quindi
BO089	il	[SPEAKER_B]	il
BO089	tipograf	[SPEAKER_B]	tipografo
BO089	in	[SPEAKER_B]	in
BO089	origine	[SPEAKER_B]	originale
BO089	era	[SPEAKER_B]	tipografo
BO089	il	[SPEAKER_B]	il
BO089	tipografo	[SPEAKER_B]	tipografo
BO089	povero	[SPEAKER_B]	il
BO089	tipografo	[SPEAKER_B]	tipografo
BO089	che	[SPEAKER_B]	perché
BO089	doveva	[SPEAKER_B]	doveva
BO087	tipografo	[SPEAKER_B]	scappare
BO087	mh	-	-
BO087	sì	-	-
BO087	stampato	-	-
BO087	il	[SPEAKER_B]	il
BO087	libro	[SPEAKER_B]	libro
BO087	andare	-	-
BO087	a	[SPEAKER_B]	a
BO087	guardarlo	[SPEAKER_B]	dare
BO087	anche	[SPEAKER_B]	a
-	-	[SPEAKER_B]	portarlo
-	-	[SPEAKER_B]	alti
BO087	perché	[SPEAKER_B]	perché
BO089	quando	[SPEAKER_B]	quando
BO089	il	[SPEAKER_B]	l'helito
BO089	diritto	[SPEAKER_B]	stapa
BO089	di	-	-
BO089	stampa	-	-
BO089	nasce	[SPEAKER_B]	nasce
BO089	lei	[SPEAKER_B]	lei
BO089	non	[SPEAKER_B]	non
BO089	lo	[SPEAKER_B]	lo
BO089	sa	[SPEAKER_B]	sa
BO089	ma	[SPEAKER_B]	ma
BO089	nasce	[SPEAKER_B]	nasce
BO089	intorno	[SPEAKER_B]	intorno
BO089	al	[SPEAKER_B]	al
BO089	sedicesimo	[SPEAKER_B]	xvi
BO089	secolo	[SPEAKER_B]	secolo
BO089	in	[SPEAKER_B]	in
BO089	francia	[SPEAKER_B]	francia
BO087	mh	-	-
BO087	mh	-	-
BO087	mh	-	-
BO089	gli	[SPEAKER_B]	gli
BO089	editori	[SPEAKER_B]	litoli
BO089	non	[SPEAKER_B]	non
BO089	c'erano	[SPEAKER_B]	c'erano
BO089	ancora	[SPEAKER_B]	ancora
BO087	sì	[SPEAKER_B]	sì
BO087	no	[SPEAKER_B]	no
BO087	certo	[SPEAKER_B]	certo
BO089	xx	-	-
BO089	più	-	-
BO089	tipografi	-	-
BO087	c'erano	[SPEAKER_B]	c'erano
BO087	i	[SPEAKER_B]	i
BO087	tipografi	[SPEAKER_B]	tipogri
BO089	eh	-	-
BO089	mh	-	-
BO089	e	-	-
BO089	oggi	[SPEAKER_B]	oggi
BO089	invece	[SPEAKER_B]	vi
BO089	spetta	[SPEAKER_B]	ho
BO089	all'editore	[SPEAKER_B]	spettato
-	-	[SPEAKER_B]	l'editore
BO089	e	[SPEAKER_B]	e
BO089	oggi	[SPEAKER_B]	oggi
BO089	si	[SPEAKER_B]	si
BO089	chiama	[SPEAKER_B]	chiama
BO089	deposito	[SPEAKER_B]	teposito
BO089	legale	[SPEAKER_B]	legale
BO087	legale	[SPEAKER_A]	sì
BO089	mh	[SPEAKER_A]	no
-	-	[SPEAKER_A]	certo
-	-	[SPEAKER_A]	c'era
-	-	[SPEAKER_A]	un'equipogra
BO087	quindi	[SPEAKER_A]	quindi
BO087	il	[SPEAKER_A]	depositore
BO087	deposito	[SPEAKER_B]	questa
BO087	di	[SPEAKER_B]	pentitipografia
BO089	esempio	-	-
BO089	stamp	-	-
BO089	eh	-	-
BO089	mh	-	-
BO089	di	-	-
BO089	tipografia	-	-
BO089	di	[SPEAKER_B]	di
BO089	bibliografia	[SPEAKER_B]	bibliografia
BO089	internazionale	[SPEAKER_B]	internazionale
BO087	eh	[SPEAKER_A]	ehm
BO087	mh	-	-
BO089	può	[SPEAKER_B]	può
BO089	anche	[SPEAKER_B]	anche
BO089	prendere	[SPEAKER_B]	prendere
BO089	il	[SPEAKER_B]	il
BO089	manuale	[SPEAKER_B]	manuale
BO089	e	[SPEAKER_B]	e
BO089	sfogliarlo	[SPEAKER_B]	svolgarlo
BO089	eh	[SPEAKER_A]	e
BO089	non	[SPEAKER_A]	non
BO089	ce	[SPEAKER_A]	ce
BO089	l'ho	[SPEAKER_A]	l'abietro
BO089	dietro	[SPEAKER_A]	e
BO089	il	-	-
BO089	manuale	-	-
BO089	eh	-	-
BO089	mh	-	-
BO089	internazionale	[SPEAKER_A]	internazionale
BO089	mh	[SPEAKER_A]	ehm
BO089	eh	-	-
BO089	mh	-	-
BO087	mh	-	-
BO087	no	[SPEAKER_A]	no
BO087	parliamo	[SPEAKER_A]	parliamo
BO087	di	[SPEAKER_A]	di
BO087	bilbiografia	[SPEAKER_A]	bibliografia
BO087	non	[SPEAKER_A]	non
BO087	di	[SPEAKER_A]	di
BO087	catalogo	[SPEAKER_A]	catalogo
BO087	quindi	[SPEAKER_A]	quindi
BO089	mh	-	-
BO089	mh	-	-
BO089	brava	[SPEAKER_A]	brava
BO089	eh	[SPEAKER_B]	brava
BO087	un	[SPEAKER_A]	un
BO087	esempio	[SPEAKER_A]	esempio
BO087	proprio	[SPEAKER_A]	proprio
BO087	devo	[SPEAKER_A]	devo
BO087	fare	[SPEAKER_A]	fare
BO087	mh	-	-
BO087	mh	-	-
BO089	mi	[SPEAKER_B]	mi
BO089	piacerebbe	[SPEAKER_B]	piacere
BO089	eh	[SPEAKER_A]	e
BO089	non	[SPEAKER_A]	non
BO089	so	[SPEAKER_A]	so
BO089	la	[SPEAKER_A]	la
BO089	stessa	[SPEAKER_A]	stessa
BO089	bibliografia	[SPEAKER_A]	bibliografia
BO089	delle	[SPEAKER_A]	delle
BO089	opere	[SPEAKER_A]	opere
BO089	mh	-	-
BO089	italiane	[SPEAKER_A]	italiane
BO089	tradotte	[SPEAKER_A]	tradotte
BO089	in	[SPEAKER_A]	in
BO089	cinese	[SPEAKER_A]	cinesi
BO089	pubblicate	[SPEAKER_A]	pubblicate
BO089	in	[SPEAKER_A]	in
BO089	cina	[SPEAKER_A]	cina
BO089	quindi	[SPEAKER_A]	quindi
BO089	relative	[SPEAKER_A]	relative
BO089	a	[SPEAKER_A]	a
BO089	a	-	-
BO089	una	[SPEAKER_A]	una
BO089	lingua	[SPEAKER_A]	lingua
BO089	comunque	[SPEAKER_A]	comunque
BO089	sia	-	-
BO089	straniera	[SPEAKER_A]	straniera
BO089	diversa	[SPEAKER_A]	diversa
BO089	dalla	[SPEAKER_A]	dalla
BO087	dalla	-	-
BO087	lingua	[SPEAKER_A]	lingua
BO087	cinese	[SPEAKER_A]	cinesi
BO089	giusto	[SPEAKER_B]	giusto
BO089	purché	[SPEAKER_B]	perché
BO089	siano	[SPEAKER_B]	siamo
BO089	stampate	[SPEAKER_B]	stampati
BO089	e	[SPEAKER_B]	e
BO089	pubblicate	[SPEAKER_B]	pubblicati
BO089	in	[SPEAKER_B]	in
BO089	tanti	[SPEAKER_B]	tante
BO087	eh	-	-
BO087	mh	-	-
BO089	paesi	[SPEAKER_B]	paesi
BO089	diversi	[SPEAKER_B]	diverse
BO087	sì	[SPEAKER_B]	cucina
BO087	cina	[SPEAKER_B]	doveva
BO087	mh	-	-
BO089	dov'è	-	-
BO089	che	-	-
BO089	si	-	-
BO089	dov'è	-	-
BO089	che	[SPEAKER_B]	che
BO089	si	[SPEAKER_B]	si
BO089	stampa	[SPEAKER_B]	stampa
BO089	cinese	[SPEAKER_B]	cinesa
BO087	oltre	[SPEAKER_B]	oltre
BO087	che	[SPEAKER_B]	che
BO087	in	[SPEAKER_B]	in
BO087	cina	[SPEAKER_B]	cina
BO089	shanghai	[SPEAKER_B]	ciangani
BO087	mhmh	-	-
BO089	che	[SPEAKER_B]	che
BO089	non	[SPEAKER_B]	non
BO089	è	[SPEAKER_B]	è
BO089	in	[SPEAKER_B]	in
BO089	cina	[SPEAKER_B]	cina
BO087	sì	[SPEAKER_A]	che
BO087	sì	[SPEAKER_A]	non
BO087	sì	[SPEAKER_A]	è
BO089	ma	[SPEAKER_A]	in
BO089	shanghai	[SPEAKER_A]	cilio
-	-	[SPEAKER_A]	sì
-	-	[SPEAKER_A]	sì
-	-	[SPEAKER_A]	sì
-	-	[SPEAKER_A]	non
-	-	[SPEAKER_A]	so
-	-	[SPEAKER_A]	che
BO089	non	[SPEAKER_A]	non
BO089	è	[SPEAKER_A]	è
BO089	autonoma	[SPEAKER_A]	autonoma
BO089	no	[SPEAKER_A]	no
BO089	è	[SPEAKER_A]	è
BO089	stata	[SPEAKER_A]	stata
BO089	riassorbita	[SPEAKER_A]	riasorbita
BO087	era	[SPEAKER_A]	e
-	-	[SPEAKER_A]	la
BO087	taiwan	[SPEAKER_A]	taiwan
BO087	forse	[SPEAKER_A]	forse
BO089	era	-	-
BO089	autonoma	-	-
BO089	ah	[SPEAKER_A]	ah
BO089	taiwan	[SPEAKER_A]	taiwan
BO087	taiwan	[SPEAKER_A]	taiwan
BO089	taiwan	-	-
