conversation_id,optimization,BC_n_events,BC_mean_match_ratio,FP_n_events,FP_mean_match_ratio,SR_n_events,SR_mean_match_ratio,OR_n_events,OR_mean_match_ratio
PTD020,wer_based,187,0.17557932263814618,92,0.04710144927536231,4,0.6339285714285714,0,0.0
KPS024,wer_based,56,0.24107142857142858,19,0.10526315789473684,2,0.625,2,1.0
PBB029,wer_based,92,0.14673913043478262,55,0.05454545454545454,10,0.39761904761904765,0,0.0
PBB010,wer_based,197,0.07779792119893643,78,0.0,3,0.5333333333333333,0,0.0
PBB024,wer_based,41,0.30894308943089427,108,0.041666666666666664,4,0.625,0,0.0
PBB019,wer_based,73,0.16666666666666669,47,0.010638297872340425,5,0.478888888888889,0,0.0
TOC1002,wer_based,57,0.20818713450292398,90,0.022222222222222223,9,0.4671957671957672,0,0.0
KPC004,wer_based,76,0.21929824561403505,30,0.0,24,0.48616921577447897,4,0.0
TOA1003,wer_based,158,0.21044303797468356,59,0.0,7,0.3761904761904762,1,0.0
KPN027,wer_based,116,0.15229885057471262,25,0.04,5,0.6179487179487179,2,0.5
BOC1003,wer_based,65,0.19230769230769232,69,0.028985507246376812,38,0.43547410192147035,1,0.0
BOC1002,wer_based,101,0.1716171617161716,130,0.0038461538461538464,19,0.40369674185463655,5,0.75
PBA014,wer_based,101,0.4504950495049505,77,0.025974025974025976,5,0.65,0,0.0
KPN017,wer_based,86,0.11434108527131781,27,0.037037037037037035,8,0.6352182539682539,0,0.0
PTA018,wer_based,66,0.4166666666666667,23,0.0,5,0.5583333333333333,0,0.0
TOA3010,wer_based,76,0.19078947368421054,13,0.0,4,0.5599747474747474,4,0.5
PTB007,wer_based,64,0.19010416666666666,71,0.056338028169014086,11,0.6325757575757576,0,0.0
PBC017,wer_based,65,0.3535897435897436,24,0.125,9,0.49259259259259264,0,0.0
BOC1005,wer_based,57,0.2719298245614035,111,0.02702702702702703,29,0.49932610744770456,9,0.6018518518518517
TOC1001,wer_based,55,0.17024793388429751,115,0.017391304347826087,7,0.4583333333333333,0,0.0
BOC1007,wer_based,46,0.2391304347826087,139,0.0,21,0.5531746031746031,2,0.4166666666666667
TOA1005,wer_based,97,0.3063819342169858,48,0.020833333333333332,3,0.5555555555555555,0,0.0
PTA016,wer_based,183,0.21357012750455376,50,0.06,3,0.7000000000000001,0,0.0
PTD003,wer_based,134,0.2017412935323383,71,0.07746478873239436,2,0.825,0,0.0
KPS023,wer_based,114,0.14473684210526316,60,0.03333333333333333,5,0.30666666666666664,1,1.0
TOD2016,wer_based,151,0.21964679911699778,80,0.0375,1,0.6,0,0.0
TOD2016,event_based,151,0.21412803532008826,80,0.025,1,0.6,0,0.0
TOA3010,event_based,76,0.19078947368421054,13,0.0,4,0.6224747474747474,4,0.5
PBB029,event_based,92,0.14583333333333334,55,0.07272727272727272,10,0.39761904761904765,0,0.0
BOC1007,event_based,46,0.17391304347826086,139,0.0,21,0.5531746031746031,2,0.4166666666666667
PTA018,event_based,66,0.42424242424242425,23,0.0,5,0.4583333333333333,0,0.0
TOC1001,event_based,55,0.1884297520661157,115,0.02608695652173913,7,0.38690476190476186,0,0.0
KPC004,event_based,76,0.21052631578947367,30,0.0,24,0.48616921577447897,4,0.25
BOC1002,event_based,101,0.16666666666666666,130,0.011538461538461539,19,0.40369674185463655,5,0.75
PBC017,event_based,65,0.3817948717948718,24,0.08333333333333333,9,0.49259259259259264,0,0.0
PTA016,event_based,183,0.2172131147540984,50,0.04,3,0.7000000000000001,0,0.0
KPS023,event_based,114,0.15935672514619884,60,0.03333333333333333,5,0.30666666666666664,1,1.0
PTB007,event_based,64,0.20572916666666666,71,0.04225352112676056,11,0.587121212121212,0,0.0
PBA014,event_based,101,0.44554455445544555,77,0.025974025974025976,5,0.65,0,0.0
PTD003,event_based,134,0.23308457711442787,71,0.09154929577464789,2,0.825,0,0.0
PBB010,event_based,197,0.08871162678269276,78,0.0,3,0.5333333333333333,0,0.0
BOC1003,event_based,65,0.20512820512820512,69,0.021739130434782608,38,0.37902046783625737,1,0.0
KPN017,event_based,86,0.11434108527131781,27,0.037037037037037035,8,0.6039682539682539,0,0.0
TOA1005,event_based,97,0.3094747177221404,48,0.0,3,0.5555555555555555,0,0.0
KPS024,event_based,56,0.22321428571428573,19,0.15789473684210525,2,0.625,2,1.0
KPN027,event_based,116,0.15086206896551724,25,0.04,5,0.6846153846153846,2,0.5
PBB024,event_based,41,0.35772357723577236,108,0.06018518518518518,4,0.625,0,0.0
BOC1005,event_based,57,0.23684210526315788,111,0.02702702702702703,29,0.5165674867580494,9,0.6537037037037037
PBB019,event_based,73,0.19406392694063926,47,0.0,5,0.4344444444444445,0,0.0
PTD020,event_based,187,0.20053475935828877,92,0.04710144927536231,4,0.5089285714285714,0,0.0
TOC1002,event_based,57,0.20818713450292398,90,0.022222222222222223,9,0.4810846560846561,0,0.0
TOA1003,event_based,158,0.2088607594936709,59,0.0,7,0.3761904761904762,1,0.0
