token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
0-0	TO071	0	>allora<	allora	linguistic	none	_	Begin=0.717	_	Fast=0-6	_	_	_
0-1	TO071	0	daniela	daniela	linguistic	none	_	_	_	_	_	_	_
0-2	TO071	0	grazie	grazie	linguistic	none	_	_	_	_	_	_	_
0-3	TO071	0	mille	mille	linguistic	none	_	_	_	_	_	_	_
0-4	TO071	0	per	per	linguistic	none	_	_	_	_	_	_	_
0-5	TO071	0	aver	aver	linguistic	none	_	_	_	_	_	_	_
0-6	TO071	0	partecipato	partecipato	linguistic	none	_	_	_	_	_	_	_
0-7	TO071	0	a	a	linguistic	none	_	_	_	_	_	_	_
0-8	TO071	0	questa	questa	linguistic	none	_	_	_	_	_	_	_
0-9	TO071	0	cosa,	cosa	linguistic	none	Intonation=weakly_rising	End=3.746	_	_	_	_	_
1-0	TO071	1	ehm	ehm	linguistic	none	_	Begin=4.003|End=4.483	_	_	_	_	FP
2-0	TO071	2	quello	quello	linguistic	none	_	Begin=4.856	_	_	_	_	_
2-1	TO071	2	che	che	linguistic	none	_	_	_	_	_	_	_
2-2	TO071	2	ti	ti	linguistic	none	_	_	_	_	_	_	_
2-3	TO071	2	chiedo	chiedo	linguistic	none	_	_	_	_	_	_	_
2-4	TO071	2	io	io	linguistic	none	_	_	_	_	_	_	_
2-5	TO071	2	è	è	linguistic	none	_	_	_	_	_	_	_
2-6	TO071	2	di	di	linguistic	none	_	_	_	_	_	_	_
2-7	TO071	2	parlare	parlare	linguistic	none	_	_	_	_	_	_	_
2-8	TO071	2	del	del	linguistic	none	_	_	_	_	_	_	_
2-9	TO071	2	concetto	concetto	linguistic	none	_	_	_	_	_	_	_
2-10	TO071	2	di:	di	linguistic	none	_	_	1x1	_	_	_	_
2-11	TO071	2	casa.	casa	linguistic	none	Intonation=Falling	End=7.386	_	_	_	_	_
3-0	TO071	3	okay?	okay	linguistic	none	Intonation=Rising	Begin=7.89|End=8.212	_	_	_	_	_
4-0	TO080	4	okay,	okay	linguistic	none	Intonation=weakly_rising	Begin=8.212|End=8.604	_	_	_	_	BC
5-0	TO071	5	parliamo	parliamo	linguistic	none	_	Begin=8.604	_	_	_	_	_
5-1	TO071	5	di	di	linguistic	none	_	_	_	_	_	_	_
5-2	TO071	5	case,	case	linguistic	none	Intonation=weakly_rising	_	_	_	_	_	_
5-3	TO071	5	e:hm	ehm	linguistic	none	_	_	0x1	_	_	_	FP
5-4	TO071	5	per	per	linguistic	none	_	_	_	_	_	_	_
5-5	TO071	5	farlo:	farlo	linguistic	none	_	_	4x1	_	_	_	_
5-6	TO071	5	come	come	linguistic	none	_	_	_	_	_	_	_
5-7	TO071	5	dire	dire	linguistic	none	_	_	_	_	_	_	_
5-8	TO071	5	molto	molto	linguistic	none	_	_	_	_	_	_	_
5-9	TO071	5	semplicemente,	semplicemente	linguistic	none	Intonation=weakly_rising	End=13.733	_	_	_	_	_
6-0	TO071	6	ehm	ehm	linguistic	none	_	Begin=14.173|End=14.493	_	_	_	_	FP
7-0	TO071	7	mi	mi	linguistic	none	_	Begin=14.844	_	_	_	_	_
7-1	TO071	7	puoi	puoi	linguistic	none	_	_	_	_	_	_	_
7-2	TO071	7	dire	dire	linguistic	none	_	_	_	_	_	_	_
7-3	TO071	7	dove	dove	linguistic	none	_	_	_	_	_	_	_
7-4	TO071	7	hai	hai	linguistic	none	_	_	_	_	_	_	_
7-5	TO071	7	vissuto	vissuto	linguistic	none	_	_	_	_	_	_	_
7-6	TO071	7	nel	nel	linguistic	none	_	_	_	_	_	_	_
7-7	TO071	7	duemila	duemila	linguistic	none	_	_	_	_	_	_	_
7-8	TO071	7	diciotto?	diciotto	linguistic	none	Intonation=Rising	End=17.376	_	_	_	_	_
8-0	TO071	8	ad	ad	linguistic	none	_	Begin=17.683	_	_	_	_	_
8-1	TO071	8	esemp[io	esempio	linguistic	none	_	_	_	_	_	5-7(0)	_
8-2	TO071	8	qual	qual	linguistic	none	_	_	_	_	_	0-4(0)	_
8-3	TO071	8	è	è	linguistic	none	_	_	_	_	_	0-1(0)	_
8-4	TO071	8	la	la	linguistic	none	_	_	_	_	_	0-2(0)	_
8-5	TO071	8	tua	tua	linguistic	none	_	_	_	_	_	0-3(0)	_
8-6	TO071	8	casa]	casa	linguistic	none	_	_	_	_	_	0-4(0)	_
8-7	TO071	8	non	non	linguistic	none	_	_	_	_	_	_	_
8-8	TO071	8	lo	lo	linguistic	none	_	_	_	_	_	_	_
8-9	TO071	8	so	so	linguistic	none	_	_	_	_	_	_	_
8-10	TO071	8	torinese	torinese	linguistic	none	_	_	_	_	_	_	_
8-11	TO071	8	o	o	linguistic	none	_	_	_	_	_	_	_
8-12	TO071	8	degli	degli	linguistic	none	_	_	_	_	_	_	_
8-13	TO071	8	altri	altri	linguistic	none	_	_	_	_	_	_	_
8-14	TO071	8	[xxx]	x	unknown	none	_	End=21.17	_	_	_	0-3(1)	_
9-0	TO080	9	[torinese	torinese	linguistic	none	_	Begin=18.13	_	_	_	0-8(0)	_
9-1	TO080	9	o	o	linguistic	none	_	_	_	_	_	0-1(0)	_
9-2	TO080	9	altre]?	altre	linguistic	none	Intonation=Rising	End=19.121	_	_	_	0-5(0)	_
10-0	TO080	10	[okay]	okay	linguistic	none	_	Begin=20.85|End=21.17	_	_	_	0-4(1)	BC
11-0	TO080	11	>(quindi)<	quindi	linguistic	none	_	Begin=21.451	_	Fast=0-6	0-6(0)	_	_
11-1	TO080	11	sì	sì	linguistic	none	_	_	_	_	_	_	_
11-2	TO080	11	nel	nel	linguistic	none	_	_	_	_	_	_	_
11-3	TO080	11	duemila	duemila	linguistic	none	_	_	_	_	_	_	_
11-4	TO080	11	diciotto	diciotto	linguistic	none	_	_	_	_	_	_	_
11-5	TO080	11	ho	ho	linguistic	none	_	_	_	_	_	_	_
11-6	TO080	11	vissuto	vissuto	linguistic	none	_	_	_	_	_	_	_
11-7	TO080	11	qua	qua	linguistic	none	_	_	_	_	_	_	_
11-8	TO080	11	a	a	linguistic	none	_	_	_	_	_	_	_
11-9	TO080	11	torino,	torino	linguistic	none	Intonation=weakly_rising	End=24.12	_	_	_	_	_
12-0	TO071	12	mhmh	mhmh	linguistic	none	_	Begin=24.12|End=24.63	_	_	_	_	BC
13-0	TO080	13	e:::	e	linguistic	none	_	Begin=24.954	0x3	_	_	_	_
13-1	TO080	13	niente	niente	linguistic	none	_	_	_	_	_	_	_
13-2	TO080	13	vivo	vivo	linguistic	none	_	_	_	_	_	_	_
13-3	TO080	13	in::	in	linguistic	none	_	_	1x2	_	_	_	_
13-4	TO080	13	in	in	linguistic	none	_	_	_	_	_	_	_
13-5	TO080	13	un	un	linguistic	none	_	_	_	_	_	_	_
13-6	TO080	13	bilocale,	bilocale	linguistic	none	Intonation=weakly_rising	End=29.13	_	_	_	_	_
14-0	TO071	14	mhmh	mhmh	linguistic	none	_	Begin=29.13|End=29.595	_	_	_	_	BC
15-0	TO080	15	e::hm	ehm	linguistic	none	_	Begin=29.595	0x2	_	_	_	FP
15-1	TO080	15	non	non	linguistic	none	_	_	_	_	_	_	_
15-2	TO080	15	lontano	lontano	linguistic	none	_	_	_	_	_	_	_
15-3	TO080	15	dall'	dall'	linguistic	none	SpaceAfter=No	_	_	_	_	_	_
15-4	TO080	15	università	università	linguistic	none	_	_	_	_	_	_	_
15-5	TO080	15	quindi	quindi	linguistic	none	_	_	_	_	_	_	_
15-6	TO080	15	in	in	linguistic	none	_	_	_	_	_	_	_
15-7	TO080	15	zona	zona	linguistic	none	_	_	_	_	_	_	_
15-8	TO080	15	centro,	centro	linguistic	none	Intonation=weakly_rising	End=32.867	_	_	_	_	_
16-0	TO080	16	e:::	e	linguistic	none	_	Begin=33.728|End=35.104	0x3	_	_	_	_
17-0	TO080	17	è	è	linguistic	none	_	Begin=35.999	_	_	_	_	_
17-1	TO080	17	piccol(o)	piccolo	linguistic	none	_	End=36.763	_	_	6-7(0)	_	_
18-0	TO071	18	okay,	okay	linguistic	none	Intonation=weakly_rising	Begin=36.731	_	_	_	_	BC
18-1	TO071	18	è	è	linguistic	none	_	_	_	_	_	_	_
18-2	TO071	18	un	un	linguistic	none	_	_	_	_	_	_	_
18-3	TO071	18	bilo[cale,	bilocale	linguistic	none	Intonation=weakly_rising	_	_	_	_	4-8(2)	_
18-4	TO071	18	ma	ma	linguistic	none	_	_	_	_	_	0-2(2)	_
18-5	TO071	18	vivi	vivi	linguistic	none	_	_	_	_	_	0-4(2)	_
18-6	TO071	18	da	da	linguistic	none	_	_	_	_	_	0-2(2)	_
18-7	TO071	18	sola]	sola	linguistic	none	_	_	_	_	_	0-4(2)	_
18-8	TO071	18	o	o	linguistic	none	_	_	_	_	_	_	_
18-9	TO071	18	comunqnue	comunqnue	linguistic	none	_	_	_	_	_	_	_
18-10	TO071	18	con?	con	linguistic	none	Intonation=Rising	End=39.246	_	_	_	_	_
19-0	TO080	19	[sì	sì	linguistic	none	_	Begin=37.48	_	_	_	0-2(3)	_
19-1	TO080	19	è	è	linguistic	none	_	_	_	_	_	0-1(3)	_
19-2	TO080	19	un	un	linguistic	none	_	_	_	_	_	0-2(3)	_
19-3	TO080	19	bilocale]	bilocale	linguistic	none	_	End=38.676	_	_	_	0-8(3)	_
20-0	TO080	20	vivo	vivo	linguistic	none	_	Begin=39.251	_	_	_	_	_
20-1	TO080	20	da	da	linguistic	none	_	_	_	_	_	_	_
20-2	TO080	20	sola,	sola	linguistic	none	Intonation=weakly_rising	End=40.334	_	_	_	_	_
21-0	TO071	21	ah	ah	linguistic	none	_	Begin=40.334	_	_	_	_	BC[1]
21-1	TO071	21	okay	okay	linguistic	none	_	End=41.125	_	_	_	_	BC[1]
22-0	TO080	22	e::::	e	linguistic	none	_	Begin=41.846	0x4	_	_	_	_
22-1	TO080	22	niente	niente	linguistic	none	_	_	_	_	_	_	_
22-2	TO080	22	sono	sono	linguistic	none	_	_	_	_	_	_	_
22-3	TO080	22	in	in	linguistic	none	_	_	_	_	_	_	_
22-4	TO080	22	un	un	linguistic	none	_	_	_	_	_	_	_
22-5	TO080	22	ehm	ehm	linguistic	none	_	_	_	_	_	_	FP
22-6	TO080	22	in	in	linguistic	none	_	_	_	_	_	_	_
22-7	TO080	22	uno	uno	linguistic	none	_	_	_	_	_	_	_
22-8	TO080	22	spazio	spazio	linguistic	none	_	_	_	_	_	_	_
22-9	TO080	22	che	che	linguistic	none	_	_	_	_	_	_	_
22-10	TO080	22	ho	ho	linguistic	none	_	_	_	_	_	_	_
22-11	TO080	22	trovato	trovato	linguistic	none	_	_	_	_	_	_	_
22-12	TO080	22	perché	perché	linguistic	none	_	_	_	_	_	_	_
22-13	TO080	22	avevo	avevo	linguistic	none	_	_	_	_	_	_	_
22-14	TO080	22	cercato	cercato	linguistic	none	_	_	_	_	_	_	_
22-15	TO080	22	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	_
22-16	TO080	22	ho	ho	linguistic	none	_	_	_	_	_	_	_
22-17	TO080	22	iniziato	iniziato	linguistic	none	_	_	_	_	_	_	_
22-18	TO080	22	a	a	linguistic	none	_	_	_	_	_	_	_
22-19	TO080	22	cercare	cercare	linguistic	none	_	_	_	_	_	_	_
22-20	TO080	22	casa	casa	linguistic	none	_	_	_	_	_	_	_
22-21	TO080	22	molto	molto	linguistic	none	_	_	_	_	_	_	_
22-22	TO080	22	pre[sto]	presto	linguistic	none	_	End=49.053	_	_	_	3-6(4)	_
23-0	TO071	23	[ahah]	ahah	linguistic	none	_	Begin=48.553|End=49.073	_	_	_	0-4(4)	BC
24-0	TO080	24	eh	eh	linguistic	none	_	Begin=49.479	_	_	_	_	BC
24-1	TO080	24	perché	perché	linguistic	none	_	_	_	_	_	_	_
24-2	TO080	24	sapevo	sapevo	linguistic	none	_	_	_	_	_	_	_
24-3	TO080	24	già	già	linguistic	none	_	_	_	_	_	_	_
24-4	TO080	24	di	di	linguistic	none	_	_	_	_	_	_	_
24-5	TO080	24	dover	dover	linguistic	none	_	_	_	_	_	_	_
24-6	TO080	24	studiare	studiare	linguistic	none	_	_	_	_	_	_	_
24-7	TO080	24	qui	qui	linguistic	none	_	_	_	_	_	_	_
24-8	TO080	24	quin[di:],	quindi	linguistic	none	Intonation=weakly_rising	End=52.005	5x1	_	_	4-6(5)	_
25-0	TO071	25	[chiarame]nte,	chiaramente	linguistic	none	Intonation=weakly_rising	Begin=51.584	_	_	_	0-8(5)	BC
25-1	TO071	25	[da	da	linguistic	none	_	_	_	_	_	0-2(6)	_
25-2	TO071	25	quest'	quest'	linguistic	none	SpaceAfter=No	_	_	_	_	0-6(6)	_
25-3	TO071	25	anno]	anno	linguistic	none	_	_	_	_	_	0-4(6)	_
25-4	TO071	25	ti	ti	linguistic	none	_	_	_	_	_	_	_
25-5	TO071	25	sei	sei	linguistic	none	_	_	_	_	_	_	_
25-6	TO071	25	trasferita?	trasferita	linguistic	none	Intonation=Rising	End=54.07	_	_	_	_	_
26-0	TO080	26	[mi	mi	linguistic	none	_	Begin=52.173	_	_	_	0-2(6)	_
26-1	TO080	26	sono	sono	linguistic	none	_	_	_	_	_	0-4(6)	_
26-2	TO080	26	mossa	mossa	linguistic	none	_	_	_	_	_	0-5(6)	_
26-3	TO080	26	prima].	prima	linguistic	none	Intonation=Falling	End=53.173	_	_	_	0-5(6)	_
