token_gold,token_whisper,optimization,count
mh,_,event_based,1045
mh,_,wer_based,1028
eh,_,wer_based,893
eh,_,event_based,886
sì,_,wer_based,426
sì,_,event_based,419
okay,_,event_based,247
okay,_,wer_based,246
ehm,_,event_based,203
mhmh,_,event_based,202
ehm,_,wer_based,202
mhmh,_,wer_based,201
ah,_,event_based,162
ah,_,wer_based,161
certo,_,event_based,56
no,_,wer_based,55
no,_,event_based,55
certo,_,wer_based,54
esatto,_,wer_based,35
esatto,_,event_based,31
che,_,wer_based,30
che,_,event_based,29
la,_,wer_based,28
la,_,event_based,28
mh,grazie,event_based,28
è,_,wer_based,28
è,_,event_based,27
mh,grazie,wer_based,26
non,_,wer_based,19
non,_,event_based,18
un,_,event_based,18
un,_,wer_based,18
ho,_,event_based,17
eh,è,wer_based,17
m,_,wer_based,17
il,_,event_based,17
eh,è,event_based,17
ho,_,wer_based,16
ehm,e,wer_based,16
bene,_,wer_based,16
m,_,event_based,16
bene,_,event_based,15
mh,e,wer_based,15
va,_,event_based,14
capito,_,event_based,14
il,_,wer_based,14
mh,e,event_based,13
mh,non,wer_based,13
capito,_,wer_based,13
e,_,wer_based,13
beh,_,wer_based,13
e,_,event_based,13
vero,_,wer_based,12
mh,è,wer_based,12
cioè,_,wer_based,12
beh,_,event_based,12
ehm,e,event_based,12
va,_,wer_based,12
mh,non,event_based,11
cioè,_,event_based,11
sì,grazie,wer_based,11
infatti,_,wer_based,11
mh,che,event_based,10
d'accordo,_,wer_based,10
d'accordo,_,event_based,10
diciamo,_,wer_based,10
diciamo,_,event_based,10
di,_,event_based,10
mh,che,wer_based,10
sì,grazie,event_based,10
eh,e,wer_based,10
vero,_,event_based,10
okay,e,event_based,9
mh,è,event_based,9
di,_,wer_based,9
infatti,_,event_based,9
in,_,wer_based,9
si,_,wer_based,9
si,_,event_based,9
eh,grazie,wer_based,9
eh,grazie,event_based,8
perfetto,_,event_based,8
okay,e,wer_based,8
mhmh,e,wer_based,8
eh,e,event_based,8
una,_,event_based,8
eh,che,event_based,8
in,_,event_based,8
okay,grazie,event_based,7
mhmh,e,event_based,7
oh,_,wer_based,7
una,_,wer_based,7
eh,non,wer_based,7
lo,_,wer_based,7
mh,no,event_based,7
a,_,event_based,7
oh,_,event_based,7
mh,perché,wer_based,7
mh,quindi,event_based,7
eh,sì,wer_based,7
eh,la,event_based,6
delle,_,wer_based,6
mh,quindi,wer_based,6
sì,che,wer_based,6
a,_,wer_based,6
sì,per,wer_based,6
le,_,wer_based,6
okay,sì,wer_based,6
lo,_,event_based,6
eh,sì,event_based,6
