token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
0-0	BOR009	0	allora	allora	linguistic	none	_	Begin=1.98	_	_	_	_	_
0-1	BOR009	0	lei	lei	linguistic	none	_	_	_	_	_	_	_
0-2	BOR009	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	_
0-3	BOR009	0	è	è	linguistic	none	_	_	_	_	_	_	_
0-4	BOR009	0	di	di	linguistic	none	_	_	_	_	_	_	_
0-5	BOR009	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	_
0-6	BOR009	0	casalecchio	casalecchio	linguistic	none	_	_	_	_	_	_	_
0-7	BOR009	0	ha	ha	linguistic	none	_	_	_	_	_	_	_
0-8	BOR009	0	d[etto]	detto	linguistic	none	_	End=5.034	_	_	_	1-5(0)	_
1-0	BOI042	1	[sì]	sì	linguistic	none	_	Begin=4.66|End=5.061	_	_	_	0-2(0)	_
2-0	BOR009	2	>quindi<	quindi	linguistic	none	_	Begin=5.1	_	Fast=0-6	_	_	_
2-1	BOR009	2	ha	ha	linguistic	none	_	_	_	_	_	_	_
2-2	BOR009	2	sempre	sempre	linguistic	none	_	_	_	_	_	_	_
2-3	BOR009	2	vissuto:	vissuto	linguistic	none	_	_	6x1	_	_	_	_
2-4	BOR009	2	viss[uto	vissuto	linguistic	none	_	_	_	_	_	4-7(1)	_
2-5	BOR009	2	lì]?	lì	linguistic	none	Intonation=Rising	End=7.264	_	_	_	0-2(1)	_
3-0	BOI042	3	[°no°	no	linguistic	none	Volume=Low	Begin=6.9	_	_	_	0-2(1)	_
3-1	BOI042	3	io	io	linguistic	none	_	_	_	_	_	0-2(1)	_
3-2	BOI042	3	so]no	sono	linguistic	none	_	_	_	_	_	0-2(1)	_
3-3	BOI042	3	nato	nato	linguistic	none	_	_	_	_	_	_	_
3-4	BOI042	3	a	a	linguistic	none	_	_	_	_	_	_	_
3-5	BOI042	3	marzabotto	marzabotto	linguistic	none	_	_	_	_	_	_	_
3-6	BOI042	3	e	e	linguistic	none	_	_	_	_	_	_	_
3-7	BOI042	3	sono	sono	linguistic	none	_	_	_	_	_	_	_
3-8	BOI042	3	andato	andato	linguistic	none	_	_	_	_	_	_	_
3-9	BOI042	3	(a)	a	linguistic	none	_	_	_	_	0-1(0)	_	_
3-10	BOI042	3	abitare	abitare	linguistic	none	_	_	_	_	_	_	_
3-11	BOI042	3	da	da	linguistic	none	_	_	_	_	_	_	_
3-12	BOI042	3	marzabotto	marzabotto	linguistic	none	_	_	_	_	_	_	_
3-13	BOI042	3	mi	mi	linguistic	none	_	_	_	_	_	_	_
3-14	BOI042	3	son	son	linguistic	none	_	_	_	_	_	_	_
3-15	BOI042	3	trasferito	trasferito	linguistic	none	_	_	_	_	_	_	_
3-16	BOI042	3	su	su	linguistic	none	_	_	_	_	_	_	_
3-17	BOI042	3	da	da	linguistic	none	_	_	_	_	_	_	_
3-18	BOI042	3	piccolino	piccolino	linguistic	none	_	_	_	_	_	_	_
3-19	BOI042	3	a	a	linguistic	none	_	_	_	_	_	_	_
3-20	BOI042	3	gaibola	gaibola	linguistic	none	_	End=12.991	_	_	_	_	_
4-0	BOI042	4	°su°	su	linguistic	none	Volume=Low	Begin=13.787	_	_	_	_	_
4-1	BOI042	4	fuori	fuori	linguistic	none	_	_	_	_	_	_	_
4-2	BOI042	4	bologna	bologna	linguistic	none	_	_	_	_	_	_	_
4-3	BOI042	4	sui	sui	linguistic	none	_	_	_	_	_	_	_
4-4	BOI042	4	[colli	colli	linguistic	none	_	_	_	_	_	0-5(2)	_
4-5	BOI042	4	di]	di	linguistic	none	_	_	_	_	_	0-2(2)	_
4-6	BOI042	4	gaibola	gaibola	linguistic	none	_	End=16.415	_	_	_	_	_
5-0	BOR009	5	[°okay°]	okay	linguistic	none	Volume=Low	Begin=14.84|End=15.468	_	_	_	0-4(2)	BC
6-0	BOI042	6	poi	poi	linguistic	none	_	Begin=16.705	_	_	_	_	_
6-1	BOI042	6	son	son	linguistic	none	_	_	_	_	_	_	_
6-2	BOI042	6	andato	andato	linguistic	none	_	_	_	_	_	_	_
6-3	BOI042	6	a	a	linguistic	none	_	_	_	_	_	_	_
6-4	BOI042	6	abitare	abitare	linguistic	none	_	_	_	_	_	_	_
6-5	BOI042	6	a	a	linguistic	none	_	_	_	_	_	_	_
6-6	BOI042	6	casalecchio:	casalecchio	linguistic	none	_	_	10x1	_	_	_	_
