token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
0-0	BOR036	0	secondo:	secondo	linguistic	none	_	Begin=1.11	6x1	_	_	_	_
0-1	BOR036	0	secondo	secondo	linguistic	none	_	_	_	_	_	_	_
0-2	BOR036	0	tentativo	tentativo	linguistic	none	_	End=3.15	_	_	_	_	_
1-0	BOI101	1	((ride))	((ride))	nonverbalbehavior	none	_	Begin=1.96|End=2.39	_	_	_	_	_
2-0	BOR036	2	okay	okay	linguistic	none	_	Begin=3.6	_	_	_	_	_
2-1	BOR036	2	no	no	linguistic	none	_	_	_	_	_	_	_
2-2	BOR036	2	allora	allora	linguistic	none	_	_	_	_	_	_	_
2-3	BOR036	2	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_	_
2-4	BOR036	2	i~	i~	linguistic	none	Interrupted=Yes	_	_	_	_	_	_
2-5	BOR036	2	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_	_
2-6	BOR036	2	idea	idea	linguistic	none	_	_	_	_	_	_	_
2-7	BOR036	2	noi	noi	linguistic	none	_	_	_	_	_	_	_
2-8	BOR036	2	stiamo	stiamo	linguistic	none	_	_	_	_	_	_	_
2-9	BOR036	2	cioè	cioè	linguistic	none	_	_	_	_	_	_	_
2-10	BOR036	2	stiamo	stiamo	linguistic	none	_	_	_	_	_	_	_
2-11	BOR036	2	contattando	contattando	linguistic	none	_	_	_	_	_	_	_
2-12	BOR036	2	comunque	comunque	linguistic	none	_	_	_	_	_	_	_
2-13	BOR036	2	arrivando	arrivando	linguistic	none	_	_	_	_	_	_	_
2-14	BOR036	2	a	a	linguistic	none	_	_	_	_	_	_	_
2-15	BOR036	2	persone:	persone	linguistic	none	_	End=8.769	6x1	_	_	_	_
3-0	BOR036	3	di	di	linguistic	none	_	Begin=9.279	_	_	_	_	_
3-1	BOR036	3	bologna,	bologna	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_	_
3-2	BOR036	3	generalmente	generalmente	linguistic	none	_	_	_	_	_	_	_
3-3	BOR036	3	o	o	linguistic	none	_	_	_	_	_	_	_
3-4	BOR036	3	comunque	comunque	linguistic	none	_	_	_	_	_	_	_
3-5	BOR036	3	che	che	linguistic	none	_	_	_	_	_	_	_
3-6	BOR036	3	hanno	hanno	linguistic	none	_	_	_	_	_	_	_
3-7	BOR036	3	passato	passato	linguistic	none	_	_	_	_	_	_	_
3-8	BOR036	3	qua	qua	linguistic	none	_	_	_	_	_	_	_
3-9	BOR036	3	un	un	linguistic	none	_	_	_	_	_	_	_
3-10	BOR036	3	po'	po'	linguistic	none	_	_	_	_	_	_	_
3-11	BOR036	3	di	di	linguistic	none	_	_	_	_	_	_	_
3-12	BOR036	3	tempo:	tempo	linguistic	none	_	_	4x1	_	_	_	_
3-13	BOR036	3	perché	perché	linguistic	none	_	_	_	_	_	_	_
3-14	BOR036	3	ci	ci	linguistic	none	_	_	_	_	_	_	_
