token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
0-0	TOR006	0	ciao,	ciao	linguistic	none	Intonation=WeaklyRising	Begin=1.26	_	_	_	_	_
0-1	TOR006	0	come	come	linguistic	none	_	_	_	_	_	_	_
0-2	TOR006	0	ti	ti	linguistic	none	_	_	_	_	_	_	_
0-3	TOR006	0	chiami?	chiami	linguistic	none	Intonation=Rising	End=2.464	_	_	_	_	_
1-0	TOI031	1	io	io	linguistic	none	_	Begin=3.06	_	_	_	_	_
1-1	TOI031	1	sono	sono	linguistic	none	_	_	_	_	_	_	_
1-2	TOI031	1	davide.	davide	linguistic	none	Intonation=Falling	End=3.935	_	_	_	_	_
2-0	TOR006	2	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=4.454	_	_	_	_	BC
2-1	TOR006	2	e	e	linguistic	none	_	_	_	_	_	_	_
2-2	TOR006	2	che	che	linguistic	none	_	_	_	_	_	_	_
2-3	TOR006	2	lavoro	lavoro	linguistic	none	_	_	_	_	_	_	_
2-4	TOR006	2	fai?	fai	linguistic	none	Intonation=Rising	End=6.314	_	_	_	_	_
3-0	TOI031	3	faccio	faccio	linguistic	none	_	Begin=7.04	_	_	_	_	_
3-1	TOI031	3	il	il	linguistic	none	_	_	_	_	_	_	_
3-2	TOI031	3	giardiniere,	giardiniere	linguistic	none	Intonation=WeaklyRising	End=8.14	_	_	_	_	_
4-0	TOR006	4	da::	da	linguistic	none	_	Begin=9.152	1x2	_	_	_	_
4-1	TOR006	4	quanto	quanto	linguistic	none	_	_	_	_	_	_	_
4-2	TOR006	4	tempo?	tempo	linguistic	none	Intonation=Rising	End=10.522	_	_	_	_	_
5-0	TOI031	5	da	da	linguistic	none	_	Begin=11.12	_	_	_	_	_
5-1	TOI031	5	circa::	circa	linguistic	none	_	_	4x2	_	_	_	_
5-2	TOI031	5	m::h,	mh	linguistic	none	Intonation=WeaklyRising	_	0x2	_	_	_	FP
5-3	TOI031	5	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	_
5-4	TOI031	5	otto	otto	linguistic	none	_	_	_	_	_	_	_
5-5	TOI031	5	anni,	anni	linguistic	none	Intonation=WeaklyRising	End=13.55	_	_	_	_	_
6-0	TOR006	6	mh	mh	linguistic	none	_	Begin=13.693	_	_	_	_	BC[1]
6-1	TOR006	6	mh	mh	linguistic	none	_	End=14.082	_	_	_	_	BC[1]
7-0	TOR006	7	e:::	e	linguistic	none	_	Begin=14.848	0x3	_	_	_	_
7-1	TOR006	7	come	come	linguistic	none	_	_	_	_	_	_	_
7-2	TOR006	7	mai	mai	linguistic	none	_	_	_	_	_	_	_
7-3	TOR006	7	hai	hai	linguistic	none	_	_	_	_	_	_	_
7-4	TOR006	7	deciso	deciso	linguistic	none	_	_	_	_	_	_	_
7-5	TOR006	7	di	di	linguistic	none	_	_	_	_	_	_	_
7-6	TOR006	7	fare	fare	linguistic	none	_	_	_	_	_	_	_
7-7	TOR006	7	il	il	linguistic	none	_	_	_	_	_	_	_
7-8	TOR006	7	giardiniere?	giardiniere	linguistic	none	Intonation=Rising	End=17.59	_	_	_	_	_
8-0	TOI031	8	ma	ma	linguistic	none	_	Begin=18.775	_	_	_	_	_
8-1	TOI031	8	ehm	ehm	linguistic	none	_	_	_	_	_	_	FP
8-2	TOI031	8	in	in	linguistic	none	_	_	_	_	_	_	_
8-3	TOI031	8	realtà	realtà	linguistic	none	_	_	_	_	_	_	_
8-4	TOI031	8	non	non	linguistic	none	_	_	_	_	_	_	_
8-5	TOI031	8	ho	ho	linguistic	none	_	_	_	_	_	_	_
8-6	TOI031	8	proprio	proprio	linguistic	none	_	_	_	_	_	_	_
8-7	TOI031	8	deciso	deciso	linguistic	none	_	_	_	_	_	_	_
8-8	TOI031	8	di	di	linguistic	none	_	_	_	_	_	_	_
8-9	TOI031	8	fare	fare	linguistic	none	_	_	_	_	_	_	_
8-10	TOI031	8	il	il	linguistic	none	_	_	_	_	_	_	_
8-11	TOI031	8	giardiniere,	giardiniere	linguistic	none	Intonation=WeaklyRising	End=22.238	_	_	_	_	_
9-0	TOI031	9	ma	ma	linguistic	none	ProsodicLink=Yes	Begin=22.767	_	_	_	_	_
9-1	TOI031	9	ehm	ehm	linguistic	none	_	End=23.87	_	_	_	_	FP
10-0	TOI031	10	un	un	linguistic	none	_	Begin=25.863	_	_	_	_	_
10-1	TOI031	10	mio	mio	linguistic	none	_	_	_	_	_	_	_
10-2	TOI031	10	carissimo	carissimo	linguistic	none	_	_	_	_	_	_	_
10-3	TOI031	10	amico,	amico	linguistic	none	Intonation=WeaklyRising	End=27.277	_	_	_	_	_
11-0	TOI031	11	faceva	faceva	linguistic	none	_	Begin=28.433	_	_	_	_	_
11-1	TOI031	11	il	il	linguistic	none	_	_	_	_	_	_	_
11-2	TOI031	11	giardiniere,	giardiniere	linguistic	none	Intonation=WeaklyRising	End=29.661	_	_	_	_	_
12-0	TOI031	12	io	io	linguistic	none	_	Begin=29.782	_	_	_	_	_
12-1	TOI031	12	ho	ho	linguistic	none	_	_	_	_	_	_	_
12-2	TOI031	12	iniziato	iniziato	linguistic	none	_	_	_	_	_	_	_
12-3	TOI031	12	a	a	linguistic	none	_	_	_	_	_	_	_
12-4	TOI031	12	lavorare,	lavorare	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_	_
12-5	TOI031	12	nei	nei	linguistic	none	_	_	_	_	_	_	_
12-6	TOI031	12	primi	primi	linguistic	none	_	_	_	_	_	_	_
12-7	TOI031	12	miei	miei	linguistic	none	_	_	_	_	_	_	_
12-8	TOI031	12	due	due	linguistic	none	_	_	_	_	_	_	_
12-9	TOI031	12	anni	anni	linguistic	none	_	_	_	_	_	_	_
12-10	TOI031	12	di	di	linguistic	none	_	_	_	_	_	_	_
12-11	TOI031	12	lavoro	lavoro	linguistic	none	_	_	_	_	_	_	_
12-12	TOI031	12	in	in	linguistic	none	_	_	_	_	_	_	_
12-13	TOI031	12	una	una	linguistic	none	_	_	_	_	_	_	_
12-14	TOI031	12	fabbrica,	fabbrica	linguistic	none	Intonation=WeaklyRising	End=33.782	_	_	_	_	_
13-0	TOI031	13	e	e	linguistic	none	_	Begin=34.31	_	_	_	_	_
13-1	TOI031	13	nel	nel	linguistic	none	_	_	_	_	_	_	_
13-2	TOI031	13	tempo	tempo	linguistic	none	_	_	_	_	_	_	_
13-3	TOI031	13	libero	libero	linguistic	none	_	_	_	_	_	_	_
13-4	TOI031	13	andavo	andavo	linguistic	none	_	_	_	_	_	_	_
13-5	TOI031	13	a	a	linguistic	none	_	_	_	_	_	_	_
13-6	TOI031	13	dargli	dargli	linguistic	none	_	_	_	_	_	_	_
13-7	TOI031	13	una	una	linguistic	none	_	_	_	_	_	_	_
13-8	TOI031	13	mano.	mano	linguistic	none	Intonation=Falling	End=36.457	_	_	_	_	_
14-0	TOR006	14	mh	mh	linguistic	none	_	Begin=36.908|End=37.252	_	_	_	_	BC
15-0	TOI031	15	lo	lo	linguistic	none	_	Begin=39.005	_	_	_	_	_
15-1	TOI031	15	trovavo	trovavo	linguistic	none	_	_	_	_	_	_	_
15-2	TOI031	15	molto	molto	linguistic	none	_	_	_	_	_	_	_
15-3	TOI031	15	più,	più	linguistic	none	Intonation=WeaklyRising	End=40.022	_	_	_	_	_
16-0	TOI031	16	più	più	linguistic	none	_	Begin=40.48	_	_	_	_	_
16-1	TOI031	16	bello	bello	linguistic	none	_	_	_	_	_	_	_
16-2	TOI031	16	((ride))	((ride))	nonverbalbehavior	none	_	_	_	_	_	_	_
16-3	TOI031	16	piuttosto	piuttosto	linguistic	none	_	_	_	_	_	_	_
16-4	TOI031	16	che	che	linguistic	none	_	_	_	_	_	_	_
16-5	TOI031	16	((ride))	((ride))	nonverbalbehavior	none	_	_	_	_	_	_	_
16-6	TOI031	16	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	_
16-7	TOI031	16	lavorare	lavorare	linguistic	none	_	_	_	_	_	_	_
16-8	TOI031	16	in	in	linguistic	none	_	_	_	_	_	_	_
16-9	TOI031	16	una	una	linguistic	none	_	_	_	_	_	_	_
16-10	TOI031	16	fabbrica,	fabbrica	linguistic	none	Intonation=WeaklyRising	End=44.06	_	_	_	_	_
17-0	TOI031	17	e	e	linguistic	none	_	Begin=44.935	_	_	_	_	_
17-1	TOI031	17	poi	poi	linguistic	none	_	_	_	_	_	_	_
17-2	TOI031	17	un	un	linguistic	none	_	_	_	_	_	_	_
17-3	TOI031	17	bel	bel	linguistic	none	_	_	_	_	_	_	_
17-4	TOI031	17	giorno	giorno	linguistic	none	_	_	_	_	_	_	_
17-5	TOI031	17	questo,	questo	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_	_
17-6	TOI031	17	mio	mio	linguistic	none	_	_	_	_	_	_	_
17-7	TOI031	17	amico,	amico	linguistic	none	Intonation=WeaklyRising	End=47.005	_	_	_	_	_
18-0	TOI031	18	mi	mi	linguistic	none	_	Begin=47.501	_	_	_	_	_
18-1	TOI031	18	ha	ha	linguistic	none	_	_	_	_	_	_	_
18-2	TOI031	18	proposto	proposto	linguistic	none	_	_	_	_	_	_	_
18-3	TOI031	18	di,	di	linguistic	none	Intonation=WeaklyRising	_	_	_	_	_	_
18-4	TOI031	18	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_	_
18-5	TOI031	18	di	di	linguistic	none	_	_	_	_	_	_	_
18-6	TOI031	18	lavorare	lavorare	linguistic	none	_	_	_	_	_	_	_
18-7	TOI031	18	con	con	linguistic	none	_	_	_	_	_	_	_
18-8	TOI031	18	lui.	lui	linguistic	none	Intonation=Falling	End=50.04	_	_	_	_	_
19-0	TOR006	19	okay,	okay	linguistic	none	Intonation=WeaklyRising	Begin=50.595	_	_	_	_	BC
19-1	TOR006	19	quindi	quindi	linguistic	none	_	_	_	_	_	_	_
19-2	TOR006	19	il	il	linguistic	none	_	_	_	_	_	_	_
19-3	TOR006	19	giardiniere,	giardiniere	linguistic	none	Intonation=WeaklyRising	End=51.922	_	_	_	_	_
20-0	TOR006	20	come	come	linguistic	none	_	Begin=52.22	_	_	_	_	_
20-1	TOR006	20	mi	mi	linguistic	none	_	_	_	_	_	_	_
20-2	TOR006	20	hai	hai	linguistic	none	_	_	_	_	_	_	_
20-3	TOR006	20	detto	detto	linguistic	none	_	_	_	_	_	_	_
20-4	TOR006	20	non	non	linguistic	none	_	_	_	_	_	_	_
20-5	TOR006	20	è	è	linguistic	none	_	_	_	_	_	_	_
20-6	TOR006	20	il	il	linguistic	none	_	_	_	_	_	_	_
20-7	TOR006	20	tuo	tuo	linguistic	none	_	_	_	_	_	_	_
20-8	TOR006	20	primo	primo	linguistic	none	_	_	_	_	_	_	_
20-9	TOR006	20	lavoro,	lavoro	linguistic	none	Intonation=WeaklyRising	End=54.136	_	_	_	_	_
21-0	TOR006	21	ma	ma	linguistic	none	_	Begin=54.88	_	_	_	_	_
21-1	TOR006	21	prima	prima	linguistic	none	_	_	_	_	_	_	_
21-2	TOR006	21	lavoravi	lavoravi	linguistic	none	_	_	_	_	_	_	_
21-3	TOR006	21	in	in	linguistic	none	_	_	_	_	_	_	_
21-4	TOR006	21	fabbrica.	fabbrica	linguistic	none	Intonation=Falling	_	_	_	_	_	_
21-5	TOR006	21	mi	mi	linguistic	none	_	_	_	_	_	_	_
21-6	TOR006	21	puoi	puoi	linguistic	none	_	_	_	_	_	_	_
